name,color
Boulder,#874ABF
Central Denver,#F47A00
East,#733A34
NE Denver,#B3BA06
NE Metro,#F246DD
North,#05A4E1
NW Denver,#CAA78B
NW Metro,#FFD100
SE Denver,#AB8BCA
SE Metro,#04244D
South,#B1B4B3
SW Denver,#07F5F8
SW Metro,#07AFAD
West,#494E54
