1745,65,2,13,8,500,10,185,3,6,1,1,0,29
25,775,20,161,9,20,123,36,51,62,8,27,29,46
3,80,95,70,4,1,16,3,25,47,4,4,5,3
7,319,29,227,9,3,52,16,30,40,0,13,6,14
35,57,5,18,73,14,19,77,5,7,1,5,0,7
490,30,0,6,11,665,1,76,2,0,0,0,1,10
20,361,9,50,8,3,145,48,24,37,5,8,8,60
237,156,8,41,38,65,34,516,11,24,2,4,7,86
8,274,19,68,2,2,58,12,100,98,10,10,20,17
5,146,55,35,2,2,27,7,31,419,46,9,41,7
0,68,9,10,2,0,10,3,3,168,162,2,77,8
5,142,3,15,2,0,24,6,26,48,5,30,9,12
2,252,3,22,5,0,61,19,29,164,58,25,233,106
50,246,7,42,9,17,68,65,26,29,15,14,39,423
